,address,advantage,city,company_name,education,industry,industryLables,label,position_detail,position_name,salary,size,stage,work_year
146,,AI 美国公司,杭州,杭州睿拓智能科技有限公司,硕士,人工智能,"['大数据', '其他', '人工智能', '机器学习', '算法']","['弹性工作', '节日礼物', '五险一金', '交通补助']",null,机器学习算法工程师,20k-38k,50-150人,A轮,不限
147,,互联网百强,武汉,广州多益网络股份有限公司,不限,"移动互联网,游戏",[],"['扁平化管理', '现象级产品']",null,机器学习算法工程师,10k-20k,500-2000人,不需要融资,不限
148,"['知春路', '学院路']",扁平化，发展快，千万日活,北京,维沃移动通信有限公司,本科,移动互联网,[],"['年终分红', '带薪年假', '年度旅游', '岗位晋升']",null,机器学习算法工程师,25k-50k,2000人以上,未融资,3-5年
149,"['中关村', '知春路', '双榆树']",五险一金 带薪年假 高额年终奖,北京,北京中科智加科技有限公司,硕士,"移动互联网,数据服务",[],[],null,机器学习算法工程师,15k-30k,50-150人,不需要融资,不限
150,,六险一金，高薪期权，免费三餐，租房补贴,北京,北京字节跳动科技有限公司,本科,"移动互联网,数据服务",[],"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']",null,机器学习算法工程师-反作弊,30k-60k,2000人以上,C轮,3-5年
151,"['新安', '翻身路']","弹性工作,大数据平台,工作氛围好,管理规",深圳,维沃移动通信有限公司,本科,移动互联网,[],"['年终分红', '带薪年假', '年度旅游', '岗位晋升']",null,机器学习算法工程师,15k-30k,2000人以上,未融资,1-3年
152,"['奥运村', '北苑', '来广营']",五险一金、团结丰富、周末双休、弹性工作,北京,北京智铀科技有限公司,本科,数据服务,[],"['顶级AI大牛', '薪资福利极优', '股票期权激励', '优秀员工落户']",null,机器学习算法工程师,40k-70k,50-150人,A轮,3-5年
153,,"机器学习,深度学习,RNN,CNN",重庆,重庆学析优科技有限公司,本科,移动互联网,[],[],null,机器学习算法工程师,8k-15k,50-150人,A轮,不限
154,,发展空间大,上海,华院数据技术（上海）有限公司,硕士,"企业服务,数据服务","['企业服务', '机器学习']","['带薪年假', '绩效奖金', '定期体检', '通讯津贴']",null,高级机器学习工程师,20k-40k,50-150人,C轮,3-5年
155,"['静安寺', '南京西路', '北京西路']",六险一金、奖金丰厚、技术牛人多,上海,北京国双科技有限公司,硕士,"数据服务,企业服务",[],"['节日礼物', '年底双薪', '带薪年假', '午餐补助']",null,机器学习工程师（上海-静安区）,15k-20k,500-2000人,上市公司,应届毕业生
156,,"平台大,发展快,待遇好,福利棒",深圳,深信服科技股份有限公司,本科,"信息安全,企业服务",[],"['三餐全包', '大牛超多', '年终奖超多', '大公司，稳定']",null,机器学习算法工程师,17k-30k,2000人以上,不需要融资,不限
157,"['西北旺', '上地', '马连洼']",产品经理 工作氛围好,北京,北京福佑多多信息技术有限公司,本科,O2O,[],"['节日礼物', '年底双薪', '定期体检', '七险一金']",null,机器学习算法工程师,20k-35k,500-2000人,D轮及以上,3-5年
158,,人才引进房,厦门,瑞幸咖啡（中国）有限公司,不限,"移动互联网,O2O",[],"['带薪年假', '午餐补助', '领导好', '扁平管理']",null,机器学习算法工程师,20k-40k,2000人以上,B轮,不限
159,['鸳鸯'],世界500强央企 大平台,重庆,中冶赛迪重庆信息技术有限公司,硕士,移动互联网,"['云计算', '大数据']","['年底双薪', '绩效奖金', '带薪年假', '午餐补助']",null,机器学习算法工程师,10k-20k,150-500人,不需要融资,1-3年
160,"['西兴', '长河']",六险一金 供早餐 午餐补 房补,杭州,杭州绿湾网络科技有限公司,硕士,"企业服务,数据服务",[],"['期权激励', '住房补贴', '全额公积金', '年底双薪']",null,机器学习算法工程师,30k-60k,150-500人,B轮,3-5年
161,['西丽'],"年底三薪+,股票期权,技术大牛多",深圳,深圳小库科技有限公司,硕士,移动互联网,[],"['股票期权', '带薪年假', '不打卡', '扁平管理']",null,机器学习算法工程师,25k-50k,50-150人,A轮,1-3年
162,['望京'],弹性工作制，扁平化管理，上升空间大,北京,轻客智能科技（江苏）有限公司,本科,"数据服务,硬件",[],"['节日礼物', '股票期权', '带薪年假', '岗位晋升']",null,机器学习算法工程师,18k-27k,50-150人,A轮,3-5年
163,,"工程师文化,高期权回报,六险一金发展快",深圳,深圳大宇无限科技有限公司,本科,移动互联网,"['移动互联网', '大数据', '算法', '数据挖掘', 'Hive', 'Spark']","['股票期权', '带薪年假', '弹性工作', '扁平管理']",null,机器学习算法工程师,17k-34k,50-150人,C轮,1-3年
164,"['望京', '来广营']","带薪年假,环境好",北京,上海一起作业信息科技有限公司,本科,"移动互联网,教育","['体育', '人工智能']","['节日礼物', '岗位晋升', '扁平管理', '领导好']",null,机器学习（技术平台2019校招）,10k-20k,500-2000人,D轮及以上,应届毕业生
165,,免费三餐，租房补贴，扁平管理，职业大牛,深圳,北京字节跳动科技有限公司,硕士,"移动互联网,数据服务",[],"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']",null,机器学习实习生-音视频,8k-10k,2000人以上,C轮,不限
166,['龙溪'],"机器学习,深度学习,RNN,CNN",重庆,重庆学析优科技有限公司,本科,移动互联网,[],[],null,机器学习算法工程师,8k-15k,50-150人,A轮,不限
